Case;Atividade;Inicio;Fim;Tempo(s);;
10;Maquina trabalhando;19/01/2012 08:03:51;19/01/2012 08:04:35;44;;
10;Retirada do Produto;19/01/2012 08:04:35;19/01/2012 08:04:35;0;;
10;Alimentacao de Maquina;19/01/2012 08:04:35;19/01/2012 08:04:45;10;;
10;Parada de curta duracao;19/01/2012 08:04:45;19/01/2012 08:04:55;10;;
11;Maquina trabalhando;19/01/2012 08:04:55;19/01/2012 08:05:39;44;;
11;Retirada do Produto;19/01/2012 08:05:39;19/01/2012 08:05:39;0;;
11;Alimentacao de Maquina;19/01/2012 08:05:39;19/01/2012 08:05:49;10;;
11;Parada de curta duracao;19/01/2012 08:05:49;19/01/2012 08:05:50;1;;
12;Maquina trabalhando;19/01/2012 08:05:51;19/01/2012 08:06:34;43;;
12;Retirada do Produto;19/01/2012 08:06:34;19/01/2012 08:06:34;0;;
12;Falta de operador;19/01/2012 08:06:34;19/01/2012 08:30:51;1457;;
13;Maquina trabalhando;19/01/2012 08:30:54;19/01/2012 08:31:37;43;;
13;Alimentacao de Maquina;19/01/2012 08:31:37;19/01/2012 08:31:47;10;;
13;Retirada do Produto;19/01/2012 08:31:38;19/01/2012 08:31:38;0;;
13;Parada de curta duracao;19/01/2012 08:31:47;19/01/2012 08:31:56;9;;
14;Maquina trabalhando;19/01/2012 08:31:56;19/01/2012 08:32:40;44;;
14;Retirada do Produto;19/01/2012 08:32:40;19/01/2012 08:32:40;0;;
14;Alimentacao de Maquina;19/01/2012 08:32:40;19/01/2012 08:32:50;10;;
14;Parada de curta duracao;19/01/2012 08:32:50;19/01/2012 08:33:19;29;;
15;Maquina trabalhando;19/01/2012 08:33:20;19/01/2012 08:34:03;43;;
15;Retirada do Produto;19/01/2012 08:34:03;19/01/2012 08:34:03;0;;
15;Alimentacao de Maquina;19/01/2012 08:34:03;19/01/2012 08:34:13;10;;
15;Parada de curta duracao;19/01/2012 08:34:13;19/01/2012 08:35:10;57;;
16;Maquina trabalhando;19/01/2012 08:35:10;19/01/2012 08:35:53;43;;
16;Retirada do Produto;19/01/2012 08:35:53;19/01/2012 08:35:53;0;;
16;Alimentacao de Maquina;19/01/2012 08:35:53;19/01/2012 08:36:03;10;;
16;Parada de curta duracao;19/01/2012 08:36:03;19/01/2012 08:36:17;14;;
17;Maquina trabalhando;19/01/2012 08:36:18;19/01/2012 08:37:01;43;;
17;Retirada do Produto;19/01/2012 08:37:01;19/01/2012 08:37:01;0;;
17;Alimentacao de Maquina;19/01/2012 08:37:01;19/01/2012 08:37:11;10;;
17;Parada de curta duracao;19/01/2012 08:37:11;19/01/2012 08:38:36;85;;
18;Maquina trabalhando;19/01/2012 08:38:37;19/01/2012 08:39:20;43;;
18;Retirada do Produto;19/01/2012 08:39:20;19/01/2012 08:39:20;0;;
18;Alimentacao de Maquina;19/01/2012 08:39:20;19/01/2012 08:39:30;10;;
18;Parada de curta duracao;19/01/2012 08:39:30;19/01/2012 08:39:38;8;;
19;Maquina trabalhando;19/01/2012 08:39:39;19/01/2012 08:40:22;43;;
19;Retirada do Produto;19/01/2012 08:40:22;19/01/2012 08:40:22;0;;
19;Alimentacao de Maquina;19/01/2012 08:40:22;19/01/2012 08:40:32;10;;
19;Parada de curta duracao;19/01/2012 08:40:32;19/01/2012 08:40:39;7;;
20;Maquina trabalhando;19/01/2012 08:40:39;19/01/2012 08:41:22;43;;
20;Alimentacao de Maquina;19/01/2012 08:41:22;19/01/2012 08:41:32;10;;
20;Retirada do Produto;19/01/2012 08:41:23;19/01/2012 08:41:23;0;;
20;Parada de curta duracao;19/01/2012 08:41:32;19/01/2012 08:41:48;16;;
21;Maquina trabalhando;19/01/2012 08:41:48;19/01/2012 08:42:32;44;;
21;Retirada do Produto;19/01/2012 08:42:32;19/01/2012 08:42:32;0;;
21;Alimentacao de Maquina;19/01/2012 08:42:32;19/01/2012 08:42:42;10;;
21;Parada de curta duracao;19/01/2012 08:42:42;19/01/2012 08:42:49;7;;
22;Maquina trabalhando;19/01/2012 08:42:49;19/01/2012 08:43:33;44;;
22;Retirada do Produto;19/01/2012 08:43:33;19/01/2012 08:43:33;0;;
22;Alimentacao de Maquina;19/01/2012 08:43:33;19/01/2012 08:43:43;10;;
22;Parada de curta duracao;19/01/2012 08:43:43;19/01/2012 08:43:51;8;;
23;Maquina trabalhando;19/01/2012 08:43:51;19/01/2012 08:44:35;44;;
23;Retirada do Produto;19/01/2012 08:44:35;19/01/2012 08:44:35;0;;
23;Alimentacao de Maquina;19/01/2012 08:44:35;19/01/2012 08:44:45;10;;
23;Parada de curta duracao;19/01/2012 08:44:45;19/01/2012 08:44:53;8;;
24;Maquina trabalhando;19/01/2012 08:44:53;19/01/2012 08:45:37;44;;
24;Retirada do Produto;19/01/2012 08:45:37;19/01/2012 08:45:37;0;;
24;Alimentacao de Maquina;19/01/2012 08:45:37;19/01/2012 08:45:47;10;;
24;Parada de curta duracao;19/01/2012 08:45:47;19/01/2012 08:45:52;5;;
25;Maquina trabalhando;19/01/2012 08:45:52;19/01/2012 08:46:36;44;;
25;Retirada do Produto;19/01/2012 08:46:36;19/01/2012 08:46:36;0;;
25;Falta de operador;19/01/2012 08:46:36;19/01/2012 08:48:47;131;;
26;Maquina trabalhando;19/01/2012 08:48:49;19/01/2012 08:49:33;44;;
26;Retirada do Produto;19/01/2012 08:49:33;19/01/2012 08:49:33;0;;
26;Alimentacao de Maquina;19/01/2012 08:49:33;19/01/2012 08:49:43;10;;
26;Parada de curta duracao;19/01/2012 08:49:43;19/01/2012 08:49:50;7;;
27;Maquina trabalhando;19/01/2012 08:49:50;19/01/2012 08:50:34;44;;
27;Retirada do Produto;19/01/2012 08:50:34;19/01/2012 08:50:34;0;;
27;Alimentacao de Maquina;19/01/2012 08:50:34;19/01/2012 08:50:44;10;;
27;Parada de curta duracao;19/01/2012 08:50:44;19/01/2012 08:50:47;3;;
28;Maquina trabalhando;19/01/2012 08:50:48;19/01/2012 08:51:31;43;;
28;Retirada do Produto;19/01/2012 08:51:31;19/01/2012 08:51:31;0;;
28;Alimentacao de Maquina;19/01/2012 08:51:31;19/01/2012 08:51:41;10;;
28;Parada de curta duracao;19/01/2012 08:51:41;19/01/2012 08:51:53;12;;
29;Maquina trabalhando;19/01/2012 08:51:54;19/01/2012 08:52:38;44;;
29;Retirada do Produto;19/01/2012 08:52:38;19/01/2012 08:52:38;0;;
29;Alimentacao de Maquina;19/01/2012 08:52:38;19/01/2012 08:52:48;10;;
29;Parada de curta duracao;19/01/2012 08:52:48;19/01/2012 08:53:11;23;;
30;Maquina trabalhando;19/01/2012 08:53:11;19/01/2012 08:53:55;44;;
30;Retirada do Produto;19/01/2012 08:53:55;19/01/2012 08:53:55;0;;
30;Alimentacao de Maquina;19/01/2012 08:53:55;19/01/2012 08:54:05;10;;
30;Parada de curta duracao;19/01/2012 08:54:05;19/01/2012 08:54:11;6;;
31;Maquina trabalhando;19/01/2012 08:54:11;19/01/2012 08:54:55;44;;
31;Retirada do Produto;19/01/2012 08:54:55;19/01/2012 08:54:55;0;;
31;Alimentacao de Maquina;19/01/2012 08:54:55;19/01/2012 08:55:05;10;;
31;Parada de curta duracao;19/01/2012 08:55:05;19/01/2012 08:55:10;5;;
32;Maquina trabalhando;19/01/2012 08:55:10;19/01/2012 08:55:53;43;;
32;Retirada do Produto;19/01/2012 08:55:53;19/01/2012 08:55:53;0;;
32;Alimentacao de Maquina;19/01/2012 08:55:53;19/01/2012 08:56:03;10;;
32;Parada de curta duracao;19/01/2012 08:56:03;19/01/2012 08:56:14;11;;
33;Maquina trabalhando;19/01/2012 08:56:14;19/01/2012 08:56:58;44;;
33;Retirada do Produto;19/01/2012 08:56:58;19/01/2012 08:56:58;0;;
33;Alimentacao de Maquina;19/01/2012 08:56:58;19/01/2012 08:57:08;10;;
33;Parada de curta duracao;19/01/2012 08:57:08;19/01/2012 08:57:26;18;;
34;Maquina trabalhando;19/01/2012 08:57:26;19/01/2012 08:58:09;43;;
34;Retirada do Produto;19/01/2012 08:58:09;19/01/2012 08:58:09;0;;
34;Alimentacao de Maquina;19/01/2012 08:58:09;19/01/2012 08:58:19;10;;
34;Parada de curta duracao;19/01/2012 08:58:19;19/01/2012 08:58:30;11;;
35;Maquina trabalhando;19/01/2012 08:58:30;19/01/2012 08:59:13;43;;
35;Alimentacao de Maquina;19/01/2012 08:59:13;19/01/2012 08:59:23;10;;
35;Retirada do Produto;19/01/2012 08:59:14;19/01/2012 08:59:14;0;;
35;Parada de curta duracao;19/01/2012 08:59:23;19/01/2012 08:59:30;7;;
36;Maquina trabalhando;19/01/2012 08:59:30;19/01/2012 09:00:13;43;;
36;Reunioes;19/01/2012 09:00:13;19/01/2012 09:50:06;2993;;
36;Retirada do Produto;19/01/2012 09:00:14;19/01/2012 09:00:14;0;;
37;Maquina trabalhando;19/01/2012 09:50:24;19/01/2012 09:51:08;44;;
37;Retirada do Produto;19/01/2012 09:51:08;19/01/2012 09:51:08;0;;
37;Alimentacao de Maquina;19/01/2012 09:51:08;19/01/2012 09:51:18;10;;
37;Parada de curta duracao;19/01/2012 09:51:18;19/01/2012 09:51:26;8;;
38;Maquina trabalhando;19/01/2012 09:51:26;19/01/2012 09:52:10;44;;
38;Retirada do Produto;19/01/2012 09:52:10;19/01/2012 09:52:10;0;;
38;Alimentacao de Maquina;19/01/2012 09:52:10;19/01/2012 09:52:20;10;;
38;Parada de curta duracao;19/01/2012 09:52:20;19/01/2012 09:52:29;9;;
39;Maquina trabalhando;19/01/2012 09:52:29;19/01/2012 09:53:13;44;;
39;Retirada do Produto;19/01/2012 09:53:13;19/01/2012 09:53:13;0;;
39;Alimentacao de Maquina;19/01/2012 09:53:13;19/01/2012 09:53:23;10;;
39;Parada de curta duracao;19/01/2012 09:53:23;19/01/2012 09:53:38;15;;
40;Maquina trabalhando;19/01/2012 09:53:38;19/01/2012 09:54:22;44;;
40;Retirada do Produto;19/01/2012 09:54:22;19/01/2012 09:54:22;0;;
40;Alimentacao de Maquina;19/01/2012 09:54:22;19/01/2012 09:54:32;10;;
40;Parada de curta duracao;19/01/2012 09:54:32;19/01/2012 09:54:40;8;;
41;Maquina trabalhando;19/01/2012 09:54:40;19/01/2012 09:55:24;44;;
41;Retirada do Produto;19/01/2012 09:55:24;19/01/2012 09:55:24;0;;
41;Alimentacao de Maquina;19/01/2012 09:55:24;19/01/2012 09:55:34;10;;
41;Parada de curta duracao;19/01/2012 09:55:34;19/01/2012 09:55:41;7;;
42;Maquina trabalhando;19/01/2012 09:55:41;19/01/2012 09:56:26;45;;
42;Retirada do Produto;19/01/2012 09:56:26;19/01/2012 09:56:26;0;;
42;Alimentacao de Maquina;19/01/2012 09:56:26;19/01/2012 09:56:36;10;;
42;Parada de curta duracao;19/01/2012 09:56:36;19/01/2012 09:56:42;6;;
43;Maquina trabalhando;19/01/2012 09:56:42;19/01/2012 09:57:26;44;;
43;Retirada do Produto;19/01/2012 09:57:26;19/01/2012 09:57:26;0;;
43;Alimentacao de Maquina;19/01/2012 09:57:26;19/01/2012 09:57:36;10;;
43;Parada de curta duracao;19/01/2012 09:57:36;19/01/2012 09:58:01;25;;
44;Maquina trabalhando;19/01/2012 09:58:01;19/01/2012 09:58:45;44;;
44;Retirada do Produto;19/01/2012 09:58:45;19/01/2012 09:58:45;0;;
44;Alimentacao de Maquina;19/01/2012 09:58:45;19/01/2012 09:58:55;10;;
44;Parada de curta duracao;19/01/2012 09:58:55;19/01/2012 09:58:59;4;;
45;Maquina trabalhando;19/01/2012 09:58:59;19/01/2012 09:59:43;44;;
45;Retirada do Produto;19/01/2012 09:59:43;19/01/2012 09:59:43;0;;
45;Alimentacao de Maquina;19/01/2012 09:59:43;19/01/2012 09:59:53;10;;
45;Parada de curta duracao;19/01/2012 09:59:53;19/01/2012 10:00:01;8;;
46;Maquina trabalhando;19/01/2012 10:00:01;19/01/2012 10:00:45;44;;
46;Retirada do Produto;19/01/2012 10:00:45;19/01/2012 10:00:45;0;;
46;Alimentacao de Maquina;19/01/2012 10:00:45;19/01/2012 10:00:55;10;;
46;Parada de curta duracao;19/01/2012 10:00:55;19/01/2012 10:01:02;7;;
47;Maquina trabalhando;19/01/2012 10:01:02;19/01/2012 10:01:45;43;;
47;Alimentacao de Maquina;19/01/2012 10:01:45;19/01/2012 10:01:55;10;;
47;Retirada do Produto;19/01/2012 10:01:46;19/01/2012 10:01:46;0;;
47;Parada de curta duracao;19/01/2012 10:01:55;19/01/2012 10:02:00;5;;
48;Maquina trabalhando;19/01/2012 10:02:01;19/01/2012 10:02:44;43;;
48;Retirada do Produto;19/01/2012 10:02:44;19/01/2012 10:02:44;0;;
48;Alimentacao de Maquina;19/01/2012 10:02:44;19/01/2012 10:02:54;10;;
48;Parada de curta duracao;19/01/2012 10:02:54;19/01/2012 10:03:01;7;;
49;Maquina trabalhando;19/01/2012 10:03:01;19/01/2012 10:03:45;44;;
49;Retirada do Produto;19/01/2012 10:03:45;19/01/2012 10:03:45;0;;
49;Alimentacao de Maquina;19/01/2012 10:03:45;19/01/2012 10:03:55;10;;
49;Parada de curta duracao;19/01/2012 10:03:55;19/01/2012 10:04:19;24;;
50;Maquina trabalhando;19/01/2012 10:04:19;19/01/2012 10:05:02;43;;
50;Retirada do Produto;19/01/2012 10:05:02;19/01/2012 10:05:02;0;;
50;Alimentacao de Maquina;19/01/2012 10:05:02;19/01/2012 10:05:12;10;;
50;Parada de curta duracao;19/01/2012 10:05:12;19/01/2012 10:05:25;13;;
51;Maquina trabalhando;19/01/2012 10:05:26;19/01/2012 10:06:09;43;;
51;Retirada do Produto;19/01/2012 10:06:09;19/01/2012 10:06:09;0;;
51;Alimentacao de Maquina;19/01/2012 10:06:09;19/01/2012 10:06:19;10;;
51;Parada de curta duracao;19/01/2012 10:06:19;19/01/2012 10:06:26;7;;
52;Maquina trabalhando;19/01/2012 10:06:26;19/01/2012 10:07:09;43;;
52;Alimentacao de Maquina;19/01/2012 10:07:09;19/01/2012 10:07:19;10;;
52;Retirada do Produto;19/01/2012 10:07:10;19/01/2012 10:07:10;0;;
52;Parada de curta duracao;19/01/2012 10:07:19;19/01/2012 10:07:24;5;;
53;Maquina trabalhando;19/01/2012 10:07:24;19/01/2012 10:08:07;43;;
53;Retirada do Produto;19/01/2012 10:08:07;19/01/2012 10:08:07;0;;
53;Alimentacao de Maquina;19/01/2012 10:08:07;19/01/2012 10:08:17;10;;
53;Parada de curta duracao;19/01/2012 10:08:17;19/01/2012 10:08:21;4;;
54;Maquina trabalhando;19/01/2012 10:08:22;19/01/2012 10:09:05;43;;
54;Retirada do Produto;19/01/2012 10:09:05;19/01/2012 10:09:05;0;;
54;Alimentacao de Maquina;19/01/2012 10:09:05;19/01/2012 10:09:15;10;;
54;Parada de curta duracao;19/01/2012 10:09:15;19/01/2012 10:09:27;12;;
55;Maquina trabalhando;19/01/2012 10:09:27;19/01/2012 10:10:10;43;;
55;Retirada do Produto;19/01/2012 10:10:10;19/01/2012 10:10:10;0;;
55;Alimentacao de Maquina;19/01/2012 10:10:10;19/01/2012 10:10:20;10;;
55;Parada de curta duracao;19/01/2012 10:10:20;19/01/2012 10:10:26;6;;
56;Maquina trabalhando;19/01/2012 10:10:26;19/01/2012 10:11:10;44;;
56;Retirada do Produto;19/01/2012 10:11:10;19/01/2012 10:11:10;0;;
56;Alimentacao de Maquina;19/01/2012 10:11:10;19/01/2012 10:11:20;10;;
56;Parada de curta duracao;19/01/2012 10:11:20;19/01/2012 10:12:23;63;;
57;Maquina trabalhando;19/01/2012 10:12:24;19/01/2012 10:13:07;43;;
57;Retirada do Produto;19/01/2012 10:13:07;19/01/2012 10:13:07;0;;
57;Alimentacao de Maquina;19/01/2012 10:13:07;19/01/2012 10:13:17;10;;
57;Parada de curta duracao;19/01/2012 10:13:17;19/01/2012 10:13:22;5;;
58;Maquina trabalhando;19/01/2012 10:13:22;19/01/2012 10:14:06;44;;
58;Alimentacao de Maquina;19/01/2012 10:14:06;19/01/2012 10:14:16;10;;
58;Retirada do Produto;19/01/2012 10:14:07;19/01/2012 10:14:07;0;;
58;Parada de curta duracao;19/01/2012 10:14:16;19/01/2012 10:14:20;4;;
59;Maquina trabalhando;19/01/2012 10:14:21;19/01/2012 10:15:04;43;;
59;Retirada do Produto;19/01/2012 10:15:04;19/01/2012 10:15:04;0;;
59;Alimentacao de Maquina;19/01/2012 10:15:04;19/01/2012 10:15:14;10;;
59;Parada de curta duracao;19/01/2012 10:15:14;19/01/2012 10:15:17;3;;
60;Maquina trabalhando;19/01/2012 10:15:18;19/01/2012 10:16:01;43;;
60;Retirada do Produto;19/01/2012 10:16:01;19/01/2012 10:16:01;0;;
60;Alimentacao de Maquina;19/01/2012 10:16:01;19/01/2012 10:16:11;10;;
60;Parada de curta duracao;19/01/2012 10:16:11;19/01/2012 10:16:15;4;;
61;Maquina trabalhando;19/01/2012 10:16:15;19/01/2012 10:16:58;43;;
61;Alimentacao de Maquina;19/01/2012 10:16:58;19/01/2012 10:17:08;10;;
61;Retirada do Produto;19/01/2012 10:16:59;19/01/2012 10:16:59;0;;
61;Parada de curta duracao;19/01/2012 10:17:08;19/01/2012 10:17:15;7;;
62;Maquina trabalhando;19/01/2012 10:17:16;19/01/2012 10:17:59;43;;
62;Retirada do Produto;19/01/2012 10:17:59;19/01/2012 10:17:59;0;;
62;Alimentacao de Maquina;19/01/2012 10:17:59;19/01/2012 10:18:09;10;;
62;Parada de curta duracao;19/01/2012 10:18:09;19/01/2012 10:18:13;4;;
63;Maquina trabalhando;19/01/2012 10:18:13;19/01/2012 10:18:56;43;;
63;Retirada do Produto;19/01/2012 10:18:56;19/01/2012 10:18:56;0;;
63;Alimentacao de Maquina;19/01/2012 10:18:56;19/01/2012 10:19:06;10;;
63;Parada de curta duracao;19/01/2012 10:19:06;19/01/2012 10:19:11;5;;
64;Maquina trabalhando;19/01/2012 10:19:11;19/01/2012 10:19:55;44;;
64;Retirada do Produto;19/01/2012 10:19:55;19/01/2012 10:19:55;0;;
64;Alimentacao de Maquina;19/01/2012 10:19:55;19/01/2012 10:20:05;10;;
64;Parada de curta duracao;19/01/2012 10:20:05;19/01/2012 10:20:46;41;;
65;Maquina trabalhando;19/01/2012 10:20:46;19/01/2012 10:21:29;43;;
65;Retirada do Produto;19/01/2012 10:21:29;19/01/2012 10:21:29;0;;
65;Alimentacao de Maquina;19/01/2012 10:21:29;19/01/2012 10:21:39;10;;
65;Parada de curta duracao;19/01/2012 10:21:39;19/01/2012 10:21:42;3;;
66;Maquina trabalhando;19/01/2012 10:21:42;19/01/2012 10:22:26;44;;
66;Retirada do Produto;19/01/2012 10:22:26;19/01/2012 10:22:26;0;;
66;Alimentacao de Maquina;19/01/2012 10:22:26;19/01/2012 10:22:36;10;;
66;Parada de curta duracao;19/01/2012 10:22:36;19/01/2012 10:22:40;4;;
67;Maquina trabalhando;19/01/2012 10:22:40;19/01/2012 10:23:23;43;;
67;Reunioes;19/01/2012 10:23:23;19/01/2012 10:28:29;306;;
67;Retirada do Produto;19/01/2012 10:23:24;19/01/2012 10:23:24;0;;
68;Maquina trabalhando;19/01/2012 10:28:31;19/01/2012 10:29:16;45;;
68;Retirada do Produto;19/01/2012 10:29:16;19/01/2012 10:29:16;0;;
68;Alimentacao de Maquina;19/01/2012 10:29:16;19/01/2012 10:29:26;10;;
68;Parada de curta duracao;19/01/2012 10:29:26;19/01/2012 10:29:39;13;;
69;Maquina trabalhando;19/01/2012 10:29:39;19/01/2012 10:30:22;43;;
69;Retirada do Produto;19/01/2012 10:30:22;19/01/2012 10:30:22;0;;
69;Alimentacao de Maquina;19/01/2012 10:30:22;19/01/2012 10:30:32;10;;
69;Parada de curta duracao;19/01/2012 10:30:32;19/01/2012 10:30:37;5;;
70;Maquina trabalhando;19/01/2012 10:30:37;19/01/2012 10:31:22;45;;
70;Retirada do Produto;19/01/2012 10:31:22;19/01/2012 10:31:22;0;;
70;Alimentacao de Maquina;19/01/2012 10:31:22;19/01/2012 10:31:32;10;;
70;Parada de curta duracao;19/01/2012 10:31:32;19/01/2012 10:31:37;5;;
71;Maquina trabalhando;19/01/2012 10:31:38;19/01/2012 10:32:21;43;;
71;Retirada do Produto;19/01/2012 10:32:21;19/01/2012 10:32:21;0;;
71;Alimentacao de Maquina;19/01/2012 10:32:21;19/01/2012 10:32:31;10;;
71;Parada de curta duracao;19/01/2012 10:32:31;19/01/2012 10:32:37;6;;
72;Maquina trabalhando;19/01/2012 10:32:37;19/01/2012 10:33:21;44;;
72;Retirada do Produto;19/01/2012 10:33:21;19/01/2012 10:33:21;0;;
72;Alimentacao de Maquina;19/01/2012 10:33:21;19/01/2012 10:33:31;10;;
72;Parada de curta duracao;19/01/2012 10:33:31;19/01/2012 10:33:35;4;;
73;Maquina trabalhando;19/01/2012 10:33:35;19/01/2012 10:34:18;43;;
73;Retirada do Produto;19/01/2012 10:34:18;19/01/2012 10:34:18;0;;
73;Alimentacao de Maquina;19/01/2012 10:34:18;19/01/2012 10:34:28;10;;
73;Parada de curta duracao;19/01/2012 10:34:28;19/01/2012 10:34:36;8;;
74;Maquina trabalhando;19/01/2012 10:34:36;19/01/2012 10:35:20;44;;
74;Retirada do Produto;19/01/2012 10:35:20;19/01/2012 10:35:20;0;;
74;Alimentacao de Maquina;19/01/2012 10:35:20;19/01/2012 10:35:30;10;;
74;Parada de curta duracao;19/01/2012 10:35:30;19/01/2012 10:35:41;11;;
75;Maquina trabalhando;19/01/2012 10:35:41;19/01/2012 10:36:25;44;;
75;Retirada do Produto;19/01/2012 10:36:25;19/01/2012 10:36:25;0;;
75;Alimentacao de Maquina;19/01/2012 10:36:25;19/01/2012 10:36:35;10;;
75;Parada de curta duracao;19/01/2012 10:36:35;19/01/2012 10:36:46;11;;
76;Maquina trabalhando;19/01/2012 10:36:47;19/01/2012 10:37:30;43;;
76;Retirada do Produto;19/01/2012 10:37:30;19/01/2012 10:37:30;0;;
76;Alimentacao de Maquina;19/01/2012 10:37:30;19/01/2012 10:37:40;10;;
76;Parada de curta duracao;19/01/2012 10:37:40;19/01/2012 10:37:46;6;;
77;Maquina trabalhando;19/01/2012 10:37:46;19/01/2012 10:38:30;44;;
77;Retirada do Produto;19/01/2012 10:38:30;19/01/2012 10:38:30;0;;
77;Alimentacao de Maquina;19/01/2012 10:38:30;19/01/2012 10:38:40;10;;
77;Parada de curta duracao;19/01/2012 10:38:40;19/01/2012 10:38:44;4;;
78;Maquina trabalhando;19/01/2012 10:38:44;19/01/2012 10:39:28;44;;
78;Retirada do Produto;19/01/2012 10:39:28;19/01/2012 10:39:28;0;;
78;Alimentacao de Maquina;19/01/2012 10:39:28;19/01/2012 10:39:38;10;;
78;Parada de curta duracao;19/01/2012 10:39:38;19/01/2012 10:39:44;6;;
79;Maquina trabalhando;19/01/2012 10:39:44;19/01/2012 10:40:28;44;;
79;Retirada do Produto;19/01/2012 10:40:28;19/01/2012 10:40:28;0;;
79;Alimentacao de Maquina;19/01/2012 10:40:28;19/01/2012 10:40:38;10;;
79;Parada de curta duracao;19/01/2012 10:40:38;19/01/2012 10:40:43;5;;
80;Maquina trabalhando;19/01/2012 10:40:43;19/01/2012 10:41:27;44;;
80;Retirada do Produto;19/01/2012 10:41:27;19/01/2012 10:41:27;0;;
80;Alimentacao de Maquina;19/01/2012 10:41:27;19/01/2012 10:41:37;10;;
80;Parada de curta duracao;19/01/2012 10:41:37;19/01/2012 10:41:41;4;;
81;Maquina trabalhando;19/01/2012 10:41:41;19/01/2012 10:42:25;44;;
81;Retirada do Produto;19/01/2012 10:42:25;19/01/2012 10:42:25;0;;
81;Alimentacao de Maquina;19/01/2012 10:42:25;19/01/2012 10:42:35;10;;
81;Parada de curta duracao;19/01/2012 10:42:35;19/01/2012 10:42:39;4;;
82;Maquina trabalhando;19/01/2012 10:42:40;19/01/2012 10:43:23;43;;
82;Retirada do Produto;19/01/2012 10:43:23;19/01/2012 10:43:23;0;;
82;Alimentacao de Maquina;19/01/2012 10:43:23;19/01/2012 10:43:33;10;;
82;Parada de curta duracao;19/01/2012 10:43:33;19/01/2012 10:43:39;6;;
83;Maquina trabalhando;19/01/2012 10:43:40;19/01/2012 10:44:23;43;;
83;Retirada do Produto;19/01/2012 10:44:23;19/01/2012 10:44:23;0;;
83;Alimentacao de Maquina;19/01/2012 10:44:23;19/01/2012 10:44:33;10;;
83;Parada de curta duracao;19/01/2012 10:44:33;19/01/2012 10:44:39;6;;
84;Maquina trabalhando;19/01/2012 10:44:39;19/01/2012 10:45:23;44;;
84;Retirada do Produto;19/01/2012 10:45:23;19/01/2012 10:45:23;0;;
